question_id,assessment_version_slug,block,subblock,question_type,text,options_json,primary_dimension,secondary_dimensions,weights_by_dimension_json,consistency_pair_id,difficulty,is_required,order_hint,status,question_purpose,notes
exp_interest_01,express_v1,interests_and_task_preferences,systems_interest,likert,"Мне нравится разбираться, как устроены разные системы и процессы.","[{""value"":0,""label"":""Совсем не про меня""},{""value"":25,""label"":""Скорее нет""},{""value"":50,""label"":""Не уверен""},{""value"":75,""label"":""Скорее да""},{""value"":100,""label"":""Точно про меня""}]",technical,analytical|exploratory,"{""technical"":1.0,""analytical"":0.5,""exploratory"":0.4}",,medium,true,10,active,interest_signal,express_v2
exp_interest_02,express_v1,interests_and_task_preferences,equipment_setup,situational,"В кружке нужно настроить оборудование для проекта. С чего начнёшь?","[{""key"":""a"",""label"":""Прочитаю инструкцию и разберусь сам"",""weights_by_dimension"":{""technical"":1.0,""analytical"":0.6}},{""key"":""b"",""label"":""Попрошу кого-то показать, потом повторю"",""weights_by_dimension"":{""social"":0.6,""practical"":0.5}},{""key"":""c"",""label"":""Сразу буду пробовать — разберусь по ходу"",""weights_by_dimension"":{""practical"":0.8,""exploratory"":0.5}}]",technical,practical|analytical,"{""technical"":1.0,""practical"":0.7,""analytical"":0.5}",,medium,true,20,active,behavior_signal,express_v2
exp_interest_03,express_v1,interests_and_task_preferences,pattern_interest,likert,"Мне нравится находить закономерности в задачах и примерах.","[{""value"":0,""label"":""Совсем не про меня""},{""value"":25,""label"":""Скорее нет""},{""value"":50,""label"":""Не уверен""},{""value"":75,""label"":""Скорее да""},{""value"":100,""label"":""Точно про меня""}]",analytical,quantitative|detail,"{""analytical"":1.0,""quantitative"":0.6,""detail"":0.4}",,medium,true,30,active,interest_signal,express_v2
exp_interest_04,express_v1,interests_and_task_preferences,team_stuck,situational,"В классном проекте никто не знает, с чего начать. Что ты сделаешь?","[{""key"":""a"",""label"":""Предложу план и распределю задачи"",""weights_by_dimension"":{""structured"":0.8,""leadership"":0.5}},{""key"":""b"",""label"":""Спрошу у каждого, что ему ближе, и помогу начать"",""weights_by_dimension"":{""helping"":1.0,""social"":0.8}},{""key"":""c"",""label"":""Начну сам делать что-то, чтобы сдвинуть процесс"",""weights_by_dimension"":{""practical"":0.7,""exploratory"":0.4}}]",helping,social|structured,"{""helping"":1.0,""social"":0.7,""structured"":0.5}",,medium,true,40,active,behavior_signal,express_v2
exp_interest_05,express_v1,interests_and_task_preferences,help_vs_solve,forced_choice,"Что тебе обычно интереснее?","[{""key"":""a"",""label"":""Помогать друзьям разобраться в сложной теме"",""weights_by_dimension"":{""social"":1.0,""helping"":0.9,""verbal"":0.6}},{""key"":""b"",""label"":""Самому решить трудную задачу"",""weights_by_dimension"":{""analytical"":0.8,""technical"":0.5}}]",social,helping|verbal,"{""social"":1.0,""helping"":0.8,""verbal"":0.5}",,easy,true,50,active,preference_signal,express_v2
exp_subject_03,express_v1,subjects_profile,best_results,single_select,"В каком типе заданий у тебя чаще всего сильный результат?","[{""key"":""a"",""label"":""Логика и расчёты"",""weights_by_dimension"":{""analytical"":0.9,""quantitative"":1.0}},{""key"":""b"",""label"":""Тексты, аргументация, объяснение"",""weights_by_dimension"":{""verbal"":1.0,""social"":0.4}},{""key"":""c"",""label"":""Проекты руками, практика"",""weights_by_dimension"":{""practical"":1.0,""technical"":0.5}},{""key"":""d"",""label"":""Креатив и дизайн решений"",""weights_by_dimension"":{""creative"":1.0,""exploratory"":0.5}}]",analytical,quantitative|verbal|practical|creative,"{""analytical"":1.0,""quantitative"":0.8,""verbal"":0.8,""practical"":0.8,""creative"":0.8}",,medium,true,60,active,subject_signal,express_v2
exp_subject_04,express_v1,subjects_profile,language_vs_tech,forced_choice,"Если можно выбрать курс по выбору, что возьмёшь?","[{""key"":""a"",""label"":""Писательское мастерство или дебаты"",""weights_by_dimension"":{""verbal"":1.0,""social"":0.4}},{""key"":""b"",""label"":""Робототехника или программирование"",""weights_by_dimension"":{""technical"":1.0,""analytical"":0.5}}]",verbal,technical|analytical,"{""verbal"":1.0,""technical"":0.8,""analytical"":0.4}",,easy,true,70,active,tradeoff_signal,express_v2
exp_subject_07,express_v1,subjects_profile,exam_prep,situational,"До контрольной остался один день. Как готовишься?","[{""key"":""a"",""label"":""Составлю список тем и решаю по порядку"",""weights_by_dimension"":{""structured"":1.0,""detail"":0.7}},{""key"":""b"",""label"":""Позову одноклассника — вместе разберём"",""weights_by_dimension"":{""social"":0.7,""helping"":0.4}},{""key"":""c"",""label"":""Пробую разные способы — видео, конспекты, задачи"",""weights_by_dimension"":{""exploratory"":0.8,""creative"":0.3}}]",structured,detail|leadership,"{""structured"":1.0,""detail"":0.6,""leadership"":0.3}",,medium,true,80,active,behavior_signal,express_v2
exp_subject_08,express_v1,subjects_profile,explain_to_peer,likert,"Мне нравится объяснять одноклассникам темы так, чтобы им стало понятно.","[{""value"":0,""label"":""Совсем не про меня""},{""value"":25,""label"":""Скорее нет""},{""value"":50,""label"":""Не уверен""},{""value"":75,""label"":""Скорее да""},{""value"":100,""label"":""Точно про меня""}]",helping,verbal|social,"{""helping"":1.0,""verbal"":0.8,""social"":0.6}",,easy,true,90,active,helping_signal,express_v2
exp_hobby_01,express_v1,hobbies_and_activities,regular_activities,multi_select,"Какие из этих занятий ты делаешь регулярно? Выбери до 3.","[{""key"":""a"",""label"":""Кодинг или техника"",""weights_by_dimension"":{""technical"":1.0,""practical"":0.7}},{""key"":""b"",""label"":""Рисование, дизайн, монтаж"",""weights_by_dimension"":{""creative"":1.0,""detail"":0.4}},{""key"":""c"",""label"":""Волонтёрство или помощь другим"",""weights_by_dimension"":{""helping"":0.8,""social"":0.5}},{""key"":""d"",""label"":""Олимпиады или головоломки"",""weights_by_dimension"":{""analytical"":0.9,""quantitative"":0.8}},{""key"":""e"",""label"":""Организация мероприятий"",""weights_by_dimension"":{""leadership"":0.9,""verbal"":0.5}}]",practical,technical|creative|helping|quantitative,"{""practical"":1.0,""technical"":0.6,""creative"":0.4,""helping"":0.4,""quantitative"":0.4}",,medium,true,100,active,hobby_signal,express_v2
